episode,reward,length
491,-6051.584088180857,100
492,-7892.384542564852,100
493,-7373.664227690314,100
494,-8063.29335560609,100
495,-7483.978807990146,100
496,-6622.30355644729,100
497,-5821.123156458396,100
498,-5727.467256961175,100
499,-5967.604572289384,100
500,-6680.380675652533,100
501,-6196.15073473091,100
502,-5958.986367721131,100
503,-5878.8100339149,100
504,-6329.619858203417,100
505,-5974.76359757112,100
506,-5269.127200195715,100
507,-6859.615082396665,100
508,-5404.293017312173,100
509,-5549.224794693979,100
510,-5534.369213639454,100
511,-6568.143038241404,100
512,-6699.040251432818,100
513,-6360.971889950022,100
514,-6212.134770264827,100
515,-6447.33164711113,100
516,-8149.779743810759,100
517,-7857.937362092174,100
518,-5843.871595578514,100
519,-6785.836427263952,100
520,-6353.691505524192,100
521,-8187.168527602318,100
522,-7959.155657318039,100
523,-8116.4760574009315,100
524,-8301.740147152052,100
525,-7916.561604847434,100
526,-5761.410112620798,100
527,-5710.2785386876885,100
528,-5556.603588092193,100
529,-6450.2723968213195,100
530,-5441.619004618925,100
531,-5510.842933840317,100
532,-7561.695294444995,100
533,-8405.121409941328,100
534,-8156.40698001333,100
535,-7507.492082701292,100
536,-5356.542180835121,100
537,-5145.703646997583,100
538,-5314.896115656487,100
539,-5803.659399691304,100
540,-5822.860130918171,100
541,-5347.954074502479,100
542,-5485.923540031467,100
543,-6488.750988347595,100
544,-6349.779569755798,100
545,-6829.779279045032,100
546,-7727.407541841101,100
547,-6210.9162642013125,100
548,-6117.360540874656,100
549,-8163.035248451614,100
550,-8180.961567834358,100
551,-6859.571572160236,100
552,-6314.769738482307,100
553,-5647.935691103008,100
554,-6502.877216124161,100
555,-8230.719798486212,100
556,-8357.213152139759,100
557,-7965.8098005293205,100
558,-8280.252796163762,100
559,-5371.904485438792,100
560,-6262.211297653343,100
561,-5043.291876412084,100
562,-5827.552603886079,100
563,-6115.255615007743,100
564,-7032.10122373453,100
565,-7886.68637454254,100
566,-6600.771700485868,100
567,-5819.09837857917,100
568,-5541.659012129998,100
569,-6070.466623611519,100
570,-6714.125612391961,100
571,-6019.794564756273,100
572,-5531.554725278961,100
573,-6003.2382859820555,100
574,-5705.838872955073,100
575,-6036.547262590955,100
576,-8102.9450284965005,100
577,-6718.714405551517,100
578,-5594.102357987136,100
579,-5666.357776561021,100
580,-6322.686726484,100
581,-6546.723496469822,100
582,-7049.357915352473,100
583,-7515.624041285924,100
584,-5691.942003706391,100
585,-6230.762607328603,100
586,-5779.4058041979215,100
587,-8345.277980026372,100
588,-6336.364664832549,100
589,-6707.721413018184,100
590,-7149.895494447785,100
591,-6668.247410414266,100
592,-7298.498731415462,100
593,-6694.355636428112,100
594,-6057.001334432322,100
595,-5984.168175032952,100
596,-5318.335029368563,100
597,-5377.094316968375,100
598,-5406.401004778566,100
599,-6275.736600983402,100
600,-5463.783241451711,100
601,-6036.302875868456,100
602,-5927.602785552558,100
603,-5927.036875509016,100
604,-5865.049226204406,100
605,-6248.355591839536,100
606,-7829.264591652497,100
607,-8025.17632593859,100
608,-6306.498944537757,100
609,-5686.4725236902,100
610,-6402.688396098856,100
611,-6469.276612092708,100
612,-7547.135172291007,100
613,-7796.190591098636,100
614,-7802.977421549544,100
615,-7339.795675894075,100
616,-8309.090026913584,100
617,-6806.97572013126,100
618,-5686.784474872027,100
619,-8594.826070645568,100
620,-7898.429195205467,100
621,-6008.179034079002,100
622,-7258.146137814318,100
623,-5690.109855500575,100
624,-5229.338816093606,100
625,-6563.582245167637,100
626,-6788.919238397293,100
627,-5938.898034019877,100
628,-5295.021690816345,100
629,-5720.944172562743,100
630,-7667.656774658804,100
631,-8338.821867344357,100
632,-7550.427846106679,100
633,-6042.937834386,100
634,-5486.470892012411,100
635,45.043201630644006,1
636,-5857.795474720544,100
637,-5995.83077396712,100
638,-6286.511148736358,100
639,-7173.178980141906,100
640,-8435.60575311504,100
641,-6810.360277854177,100
642,-5193.0796472618895,100
643,-5666.354384113281,100
644,-6352.197037675221,100
645,-5279.760091394391,100
646,-5108.434732243649,100
647,-6139.406721630099,100
648,-5835.880339974508,100
649,-6368.238613615102,100
650,-5831.012806588772,100
651,-5443.56036044944,100
652,-5897.915738103575,100
653,-6634.458329817368,100
654,-7396.258917977288,100
655,-6704.073720940135,100
656,-6852.080762705989,100
657,-6982.943238982428,100
658,-7101.772758005456,100
659,-6422.6737952016565,100
660,-5937.585327972084,100
661,-7707.30211666993,100
662,-7845.809736448186,100
663,-8173.694065867453,100
664,-6634.516293764381,100
665,-6151.946510132546,100
666,-6201.381660197974,100
667,-5912.1212232982325,100
668,-7476.558466731599,100
669,-8265.153373742205,100
670,-6902.3796473381535,100
671,-7824.128717986011,100
672,-6988.886793792895,100
673,-5844.688700825896,100
674,-5484.155299911087,100
675,-5595.854532930416,100
676,-8168.722768064787,100
677,-6732.735392546208,100
678,-7877.012124809872,100
679,-8270.517110223058,100
680,-8296.472122642223,100
681,-7382.412046470939,100
682,-7921.648799356707,100
683,-8131.566775457972,100
684,-7665.1343868681,100
685,-7599.558369085452,100
686,-6807.112779168993,100
687,-5561.963362880843,100
688,-5542.718300500987,100
689,-6305.722841632922,100
690,-5534.930742815929,100
691,-7055.246964877663,100
692,-7771.6476656880595,100
693,-8295.499592185337,100
694,-7215.7750651556535,100
695,-5561.643162590775,100
696,-5728.809876270197,100
697,-5338.691651314113,100
698,-5568.354619175414,100
699,-5407.8897713059205,100
700,-5308.849541576859,100
701,-5688.800542659261,100
702,-6299.90532956608,100
703,-5713.874296520768,100
704,-6955.708716879049,100
705,-7392.453226686632,100
706,-6642.269136962463,100
707,-7842.575886578558,100
708,-7545.12771314868,100
709,-7062.06008547212,100
710,-5160.055804784998,100
711,-6845.980197870698,100
712,-6299.840951887281,100
713,-7193.566466467286,100
714,-6329.959699929743,100
715,-5228.048314523088,100
716,-5714.899457906024,100
717,-5999.493546884954,100
